Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,Agriculture value added(in USD),Renewable Energy Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
41128771.0,20362329.0,20766442.0,19.841,6.208,9.0,20.98223,29.10045,30.14557,11.87949,4.96,52968487738.88185,3638505418.42264,5.285,68.479,74.716,100.911262512207,28.8455085754395,,,2022,Afghanistan
40099462.0,19844584.0,20254878.0,35.842,7.344,9.0,20.98223,29.10045,30.14557,11.87949,4.96,14583135236.5744,4883089769.33996,17.86,58.915,65.279,100.911262512207,28.8455085754395,,55.9294013977051,2021,Afghanistan
38972230.0,19279930.0,19692301.0,36.051,7.113,9.0,18.48131,45.98341,53.91368,26.41834,11.71,20143451705.7548,5402594629.85022,17.58,59.866,65.432,100.911262512207,10.8584403991699,,,2020,Afghanistan
37769499.0,18679089.0,19090409.0,36.466,6.791,9.0,18.33941,44.51263,59.36147,24.07933,11.085,18904502222.2108,4872440871.18381,18.51,60.619,66.677,110.007507324219,28.8455085754395,86.1755218505859,,2019,Afghanistan
36686784.0,18136922.0,18549862.0,36.927,6.981,9.0,18.12015,44.39712,63.66947,23.55313,11.11,18418860354.4238,4060050370.96022,17.96,59.923,66.458,107.780532836914,9.96378993988037,88.7355194091797,,2018,Afghanistan
35643418.0,17614722.0,18028696.0,37.342,7.027,9.0,18.02644,43.989,66.61707,23.59966,11.18,18896353155.8839,4992454123.29534,19.21,60.105,66.099,106.129997253418,28.8455085754395,87.2533264160156,,2017,Afghanistan
34636207.0,17115346.0,17520861.0,37.936,7.077,9.0,19.27449,44.37642,66.19894,24.80629,10.086,18019554403.4503,4638289891.41854,19.92,61.193,65.096,106.150283813477,28.8455085754395,82.9104614257812,,2016,Afghanistan
33753499.0,16682054.0,17071446.0,38.803,7.331,9.0,20.66918,44.65121,65.68285,26.0521,8.989,19998143635.873,4126481495.1712,17.53,60.76,64.576,106.182418823242,28.8455085754395,,64.3400039672852,2015,Afghanistan
32716210.0,16172321.0,16543889.0,39.105,7.395,9.0,22.04671,44.79854,64.95338,27.4106,7.91,20550582746.8448,4549291004.84737,18.93,60.812,64.274,109.115516662598,8.31087017059326,,,2014,Afghanistan
31541209.0,15594637.0,15946572.0,39.601,7.478,9.0,19.53853,47.64077,67.85356,25.20403,7.949,20564485419.1684,4690895412.39673,16.86,60.791,64.027,107.695976257324,28.8455085754395,,,2013,Afghanistan
30466479.0,15067373.0,15399105.0,40.009,7.711,9.0,17.19253,50.17682,70.50992,23.03783,8.019,20203572959.5023,4927827948.56387,15.36,60.317,63.514,106.283401489258,28.8455085754395,,,2012,Afghanistan
29249157.0,14468875.0,14780282.0,39.855,7.931,9.0,15.77764,52.67994,73.42132,20.42934,7.947,18190413831.9037,4319070738.22919,12.61,59.825,62.993,100.290298461914,3.75560998916626,,46.9900512695312,2011,Afghanistan
28189672.0,13949295.0,14240377.0,40.602,8.254,9.0,15.21198,53.78926,76.35602,17.53928,8.068,15633843661.8051,4097641138.7977,15.15,59.278,62.408,102.903442382812,28.8455085754395,,,2010,Afghanistan
27385307.0,13557331.0,13827977.0,41.157,8.535,9.0,13.82961,56.27216,78.33239,15.85615,8.082,12154835707.8987,3561063119.72181,16.53,58.82,61.892,99.3697204589844,4.02480983734131,,,2009,Afghanistan
26427199.0,13088192.0,13339006.0,41.506,8.832,9.0,12.39661,58.90637,81.32214,13.17623,8.022,10249770318.5697,2551400502.69057,21.17,58.172,61.529,103.413963317871,28.8455085754395,,,2008,Afghanistan
25903301.0,12835340.0,13067961.0,43.858,9.359,6.0,12.03366,59.61623,82.39261,12.23222,8.108,9715765105.48016,2924932188.46323,28.78,57.342,60.909,101.086456298828,28.8455085754395,,,2007,Afghanistan
25442944.0,12614497.0,12828447.0,44.721,9.679,6.0,11.40802,61.01674,84.07625,10.92728,8.054,6971383338.70803,1996323142.77531,31.89,57.133,60.243,103.932243347168,28.8455085754395,,,2006,Afghanistan
24411191.0,12109086.0,12302104.0,45.263,9.941,6.0,10.89879,61.81535,85.17677,10.0268,8.113,6226198934.83329,1937272765.10973,33.88,57.013,59.697,100.229690551758,28.8455085754395,,,2005,Afghanistan
23553551.0,11690825.0,11862726.0,46.33,10.277,6.0,10.10977,63.05186,86.39676,9.143875,8.053,5220825048.64637,1551684917.84982,44.24,56.658,59.216,106.252662658691,1.38966000080109,,,2004,Afghanistan
22645130.0,11247647.0,11397483.0,47.35,10.698,6.0,9.739044,63.34015,86.72085,8.786016,8.122,4539496562.95373,1698627656.73833,36.66,56.032,58.65,96.5536804199219,1.38107001781464,,,2003,Afghanistan
21000256.0,10438055.0,10562202.0,48.201,11.28,6.0,9.271434,64.08779,87.5259,8.18386,8.186,3854235264.37171,1488809830.09966,37.83,55.227,57.672,75.9597473144531,28.8455085754395,,,2002,Afghanistan
19688632.0,9793166.0,9895467.0,48.979,11.713,6.0,8.361796,66.05487,88.712,7.53183,8.04,52968487738.88185,3638505418.42264,45.6,54.272,57.344,22.9085903167725,28.8455085754395,,,2001,Afghanistan
19542982.0,9727541.0,9815442.0,49.664,12.096,6.0,8.636017,65.47169,88.07875,7.844514,8.054,52968487738.88185,3638505418.42264,44.99,53.762,56.858,22.1629905700684,28.8455085754395,,,2000,Afghanistan
19262847.0,9595036.0,9667811.0,50.351,12.463,6.0,8.958789,64.98719,87.46256,8.272681,8.07,52968487738.88185,3638505418.42264,43.44,53.41,56.3,27.298849105835,28.8455085754395,,,1999,Afghanistan
18493132.0,9217591.0,9275541.0,50.88,13.565,6.0,9.289663,64.61451,86.82232,8.832011,8.082,52968487738.88185,3638505418.42264,38.02,51.134,54.818,34.2968788146973,28.8455085754395,,,1998,Afghanistan
17788819.0,8871958.0,8916862.0,51.4,13.334,9.0,9.635636,64.26736,86.20139,9.42873,8.089,52968487738.88185,3638505418.42264,36.42,52.153,55.151,100.911262512207,28.8455085754395,,,1997,Afghanistan
17106595.0,8537421.0,8569175.0,51.873,13.627,9.0,10.0015,63.85911,85.5619,10.04247,8.165,52968487738.88185,3638505418.42264,33.89,51.722,54.806,100.911262512207,28.8455085754395,,,1996,Afghanistan
16418912.0,8199445.0,8219467.0,52.073,14.092,9.0,10.10013,63.88614,85.21585,10.48767,8.26,52968487738.88185,3638505418.42264,31.8,51.039,54.087,49.6983299255371,28.8455085754395,,,1995,Afghanistan
2780469.0,1530390.0,1250079.0,19.841,6.208,12.0,20.98223,29.10045,30.14557,11.87949,12.557,19502783987.8807,2021341611.77038,5.285,68.479,74.716,92.9023818969727,59.8064498901367,92.1473693847656,,2022,Armenia
2790974.0,1534475.0,1256498.0,12.049,13.007,12.0,17.53141,30.28259,33.56205,10.23657,12.729,13861409968.835,1571534231.89154,5.285,66.554,77.35,93.8099975585938,58.7563095092773,100.631843566895,,2021,Armenia
2805608.0,1540097.0,1265512.0,12.455,12.792,12.0,17.14297,30.80131,33.93269,10.31673,12.18,12641698593.7908,1434808158.73513,8.38,67.051,76.996,96.6205673217773,53.3061294555664,101.986747741699,99.8738174438477,2020,Armenia
2820602.0,1545834.0,1274767.0,12.892,9.662,12.0,17.0539,29.90575,33.23834,9.888021,12.2,13619290545.8131,1569706413.58205,10.34,70.403,79.856,97.3231430053711,53.3068199157715,97.2270965576172,,2019,Armenia
2836557.0,1551563.0,1284995.0,13.307,9.75,12.0,16.82781,30.64513,34.17381,9.581635,13.21,12457940705.3088,1736924918.98091,11.13,69.992,79.601,100.061309814453,56.1650505065918,100.23706817627,,2018,Armenia
2851923.0,1556899.0,1295024.0,13.606,9.664,12.0,16.70863,31.34356,35.02524,9.294903,12.944,11527458712.6187,1728457145.08875,12.56,69.92,79.381,101.619812011719,53.5907592773438,102.763427734375,99.8470230102539,2017,Armenia
2865835.0,1561467.0,1304368.0,14.504,9.634,12.0,15.78447,33.59874,37.15694,8.324924,12.426,10546136240.3952,1728561669.32574,13.15,69.673,79.203,103.061706542969,51.7460098266602,105.009422302246,99.8473968505859,2016,Armenia
2878595.0,1565465.0,1313130.0,14.641,9.607,12.0,15.91051,35.32888,40.19437,7.959039,12.177,10553337527.7745,1817613989.7702,10.74,69.595,78.833,102.382690429688,45.4674301147461,94.2263793945312,,2015,Armenia
2889930.0,1568781.0,1321149.0,15.842,9.704,12.0,16.72849,34.82585,40.5717,8.55197,11.862,11609513241.0754,2098075452.64461,7.08,69.236,78.498,100.915573120117,44.411018371582,94.6037063598633,,2014,Armenia
